어선번호,어선명,선적항,위도,경도,지점명,지점번호,기준항
18010036482200,코리아나피싱,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
15070066483102,제3만성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
5050016483102,건영호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
97110236483100,외진호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
8100096482206,명성호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
6060026483107,2동진호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
99080056483105,진영호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
96030636483101,해진호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
4060046483109,수산어촌계호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
13050036483103,밍크3호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
9050036483102,학동5호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
8010086483107,은수호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
10036488407,밍크1호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
4070146483105,제5대영호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
3060016483104,보성호,경남 거제시 동부면,34.8060935,128.6185412,거제도,22104,
11020016488404,성원호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
4010156488405,부승호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
13100036482201,금주호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
96040196488402,삼양5호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
97020196482204,제9미승호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
20076488401,덕산호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
99080016281103,동원호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
12040066488403,조만호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
99020256461305,동추호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
11040016488400,송청호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
7050056488403,동원호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
1020086488408,권진호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
98011126488400,제1삼양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
97110616482409,흥성호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
99050136488400,평강호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
97020066488409,제11한양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
95040276488404,제1동진호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
96092006488401,송청호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
97020066488409,제1청해호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
12060016488404,명전1호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
1010036488209,영성호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
4060076482205,제1대림호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
30086467707,제3영광호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
96080576488408,성해호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
96010886488405,제2삼양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
95110066267107,제32금정호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
96080676488406,제1삼양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
15100046488406,금성호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
12090026311703,덕성호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
95050026482407,미승호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
11040086467702,11동추호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
20120026488403,제101덕성호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
97080046488409,삼양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
17030016483101,시온호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
11040016488400,금양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
17070126482209,천일호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
1050066488404,경남호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
97110666488408,제3흥화호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
99060126482405,제102덕성호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
17120036488409,승찬호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
14050026488401,아주호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
4050016263806,제107명양호,경남 남해군 삼동면,34.80464,128.02192,통영,22188,
17080046471102,한라호,전남 영암군,34.800052,126.6970381,신안,22183,
98070096467703,세진호(연안복합어업),전남 영암군,34.800052,126.6970381,신안,22183,
5100046467706,호영호(연안자망어업),전남 영암군,34.800052,126.6970381,신안,22183,
8070126468902,진선호,전남 영암군,34.800052,126.6970381,신안,22183,
15070076482200,807진양호,전남 영암군,34.800052,126.6970381,신안,22183,
80426468900,유진호,전남 고흥군 동강면,34.79557,127.34635,거문도,22103,
99120016488409,남방호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
5020096488409,제1백운호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
4110096467701,동은호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
2080066488406,제1정주호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
13060056488408,성길호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
20100026488407,원지호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
8110046488409,제3정주호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
96080686488405,제3삼성호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
4110096467701,세일호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
96030016262004,명전호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
2090026488408,영진호,경남 남해군 이동면,34.79501,127.9433,통영,22188,
20020036461100,제207영성호,전남 목포시,34.7903335,126.3847547,신안,22183,
19030016461103,동준호,전남 목포시,34.7903335,126.3847547,신안,22183,
95010116461105,제208영창호,전남 목포시,34.7903335,126.3847547,신안,22183,
2090096497106,영창3호,전남 목포시,34.7903335,126.3847547,신안,22183,
10040196469101,성복호,전남 목포시,34.7903335,126.3847547,신안,22183,
13100026461109,제909 영일호,전남 목포시,34.7903335,126.3847547,신안,22183,
21100026461102,방주호,전남 목포시,34.7903335,126.3847547,신안,22183,
6060026497209,제507신흥호,전남 목포시,34.7903335,126.3847547,신안,22183,
21020016461100,27협신호,전남 목포시,34.7903335,126.3847547,신안,22183,
11070026461100,제110용운,전남 목포시,34.7903335,126.3847547,신안,22183,
2110016468702,33유진호,전남 목포시,34.7903335,126.3847547,신안,22183,
23030056461100,제2023대경호,전남 목포시,34.7903335,126.3847547,신안,22183,
5070026497101,선진호,전남 목포시,34.7903335,126.3847547,신안,22183,
3080056461102,제75동경호,전남 목포시,34.7903335,126.3847547,신안,22183,
98090016421701,은하호,전남 목포시,34.7903335,126.3847547,신안,22183,
7010146461303,유신호,전남 목포시,34.7903335,126.3847547,신안,22183,
12080026461106,제209태흥호,전남 목포시,34.7903335,126.3847547,신안,22183,
12110016461100,동광호,전남 목포시,34.7903335,126.3847547,신안,22183,
96073656461104,제88동원호,전남 목포시,34.7903335,126.3847547,신안,22183,
10010036441803,제505만선호,전남 목포시,34.7903335,126.3847547,신안,22183,
5060016461106,제209덕양호,전남 목포시,34.7903335,126.3847547,신안,22183,
5080026461101,제207해성호,전남 목포시,34.7903335,126.3847547,신안,22183,
5080036281706,제108영창호,전남 목포시,34.7903335,126.3847547,신안,22183,
17050046461100,제2017영일호,전남 목포시,34.7903335,126.3847547,신안,22183,
15050026461106,제609덕양호(2091),전남 목포시,34.7903335,126.3847547,신안,22183,
14090016461101,해신호,전남 목포시,34.7903335,126.3847547,신안,22183,
98120256461306,금창호,전남 목포시,34.7903335,126.3847547,신안,22183,
12050046461100,303남해호,전남 목포시,34.7903335,126.3847547,신안,22183,
97040016281105,제139흥진호(2091),전남 목포시,34.7903335,126.3847547,신안,22183,
